pct,sample_size,pollster,answer,pollscore,end_date,candidate_dummy
49,1305,Siena/NYT,Harris,-1.5,2024-11-02,1
47,1305,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1305,Siena/NYT,Harris,-1.5,2024-11-02,1
45,1305,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
46,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
47,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
44,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
49,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
46,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
46,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
61,582,MassINC Polling Group,Harris,-0.8,2024-11-01,1
31,582,MassINC Polling Group,Trump,-0.8,2024-11-01,0
49,3140,Ipsos,Harris,-0.9,2024-11-01,1
46,3140,Ipsos,Trump,-0.9,2024-11-01,0
49,2735,Ipsos,Harris,-0.9,2024-11-01,1
46,2735,Ipsos,Trump,-0.9,2024-11-01,0
49,2267,Ipsos,Harris,-0.9,2024-11-01,1
46,2267,Ipsos,Trump,-0.9,2024-11-01,0
46,452,Stetson University Center for Public Opinion Research,Harris,0.3,2024-11-01,1
53,452,Stetson University Center for Public Opinion Research,Trump,0.3,2024-11-01,0
46,1004,Siena/NYT,Harris,-1.5,2024-11-01,1
46,1004,Siena/NYT,Trump,-1.5,2024-11-01,0
44,1004,Siena/NYT,Harris,-1.5,2024-11-01,1
43,1004,Siena/NYT,Trump,-1.5,2024-11-01,0
48,1004,Siena/NYT,Harris,-1.5,2024-11-01,1
47,1004,Siena/NYT,Trump,-1.5,2024-11-01,0
46,1004,Siena/NYT,Harris,-1.5,2024-11-01,1
46,1004,Siena/NYT,Trump,-1.5,2024-11-01,0
46.1,2022,Morning Consult,Harris,-0.3,2024-11-01,1
50.9,2022,Morning Consult,Trump,-0.3,2024-11-01,0
63.7,472,Morning Consult,Harris,-0.3,2024-11-01,1
31.3,472,Morning Consult,Trump,-0.3,2024-11-01,0
47.4,1056,Morning Consult,Harris,-0.3,2024-11-01,1
49.2,1056,Morning Consult,Trump,-0.3,2024-11-01,0
43.7,1254,Morning Consult,Harris,-0.3,2024-11-01,1
52.9,1254,Morning Consult,Trump,-0.3,2024-11-01,0
47,671,Kaplan Strategies,Harris,-0.9,2024-10-31,1
48,671,Kaplan Strategies,Trump,-0.9,2024-10-31,0
47.2,3490,AtlasIntel,Harris,-0.8,2024-10-31,1
49.1,3490,AtlasIntel,Trump,-0.8,2024-10-31,0
48.2,3490,AtlasIntel,Harris,-0.8,2024-10-31,1
49.6,3490,AtlasIntel,Trump,-0.8,2024-10-31,0
46.7,1373,AtlasIntel,Harris,-0.8,2024-10-31,1
50.7,1373,AtlasIntel,Trump,-0.8,2024-10-31,0
47,1373,AtlasIntel,Harris,-0.8,2024-10-31,1
50.7,1373,AtlasIntel,Trump,-0.8,2024-10-31,0
45.9,1005,AtlasIntel,Harris,-0.8,2024-10-31,1
50.8,1005,AtlasIntel,Trump,-0.8,2024-10-31,0
46.8,1005,AtlasIntel,Harris,-0.8,2024-10-31,1
51,1005,AtlasIntel,Trump,-0.8,2024-10-31,0
47.2,1212,AtlasIntel,Harris,-0.8,2024-10-31,1
48.8,1212,AtlasIntel,Trump,-0.8,2024-10-31,0
47.8,1212,AtlasIntel,Harris,-0.8,2024-10-31,1
50.1,1212,AtlasIntel,Trump,-0.8,2024-10-31,0
48.3,1136,AtlasIntel,Harris,-0.8,2024-10-31,1
49.2,1136,AtlasIntel,Trump,-0.8,2024-10-31,0
48.7,1136,AtlasIntel,Harris,-0.8,2024-10-31,1
49.3,1136,AtlasIntel,Trump,-0.8,2024-10-31,0
46.9,845,AtlasIntel,Harris,-0.8,2024-10-31,1
50.5,845,AtlasIntel,Trump,-0.8,2024-10-31,0
47,845,AtlasIntel,Harris,-0.8,2024-10-31,1
50.6,845,AtlasIntel,Trump,-0.8,2024-10-31,0
47.4,1738,AtlasIntel,Harris,-0.8,2024-10-31,1
48.5,1738,AtlasIntel,Trump,-0.8,2024-10-31,0
47.9,1738,AtlasIntel,Harris,-0.8,2024-10-31,1
49.4,1738,AtlasIntel,Trump,-0.8,2024-10-31,0
48.2,673,AtlasIntel,Harris,-0.8,2024-10-31,1
48.5,673,AtlasIntel,Trump,-0.8,2024-10-31,0
49,673,AtlasIntel,Harris,-0.8,2024-10-31,1
48.8,673,AtlasIntel,Trump,-0.8,2024-10-31,0
39,600,Change Research,Harris,0.6,2024-10-31,1
57,600,Change Research,Trump,0.6,2024-10-31,0
48.6,700,Emerson,Harris,-1.1,2024-10-31,1
48.3,700,Emerson,Trump,-1.1,2024-10-31,0
48,1249,TIPP,Harris,-0.4,2024-10-31,1
49,1249,TIPP,Trump,-0.4,2024-10-31,0
47.8,1249,TIPP,Harris,-0.4,2024-10-31,1
48.5,1249,TIPP,Trump,-0.4,2024-10-31,0
47,800,OnMessage Inc.,Harris,0.2,2024-10-31,1
49,800,OnMessage Inc.,Trump,0.2,2024-10-31,0
48,800,OnMessage Inc.,Harris,0.2,2024-10-31,1
48,800,OnMessage Inc.,Trump,0.2,2024-10-31,0
47,800,OnMessage Inc.,Harris,0.2,2024-10-31,1
48,800,OnMessage Inc.,Trump,0.2,2024-10-31,0
47,800,OnMessage Inc.,Harris,0.2,2024-10-31,1
50,800,OnMessage Inc.,Trump,0.2,2024-10-31,0
49,8918,Morning Consult,Harris,-0.3,2024-10-31,1
47,8918,Morning Consult,Trump,-0.3,2024-10-31,0
47,1267,YouGov,Harris,-1.1,2024-10-31,1
47,1267,YouGov,Trump,-1.1,2024-10-31,0
48,1152,YouGov,Harris,-1.1,2024-10-31,1
48,1152,YouGov,Trump,-1.1,2024-10-31,0
48,1267,YouGov,Harris,-1.1,2024-10-31,1
48,1267,YouGov,Trump,-1.1,2024-10-31,0
49,1152,YouGov,Harris,-1.1,2024-10-31,1
48,1152,YouGov,Trump,-1.1,2024-10-31,0
50,632,SurveyUSA,Harris,-1.3,2024-10-31,1
44,632,SurveyUSA,Trump,-1.3,2024-10-31,0
44.2,400,Susquehanna,Harris,-0.3,2024-10-31,1
50.2,400,Susquehanna,Trump,-0.3,2024-10-31,0
47,652,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
48,652,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
47,1779,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
48,1779,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
47,1731,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
47,1731,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
47,690,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
48,690,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
47,1123,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
48,1123,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
48,1596,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
48,1596,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
48,932,Redfield & Wilton Strategies,Harris,0.4,2024-10-31,1
47,932,Redfield & Wilton Strategies,Trump,0.4,2024-10-31,0
49,1328,Echelon Insights,Harris,-0.8,2024-10-31,1
47,1328,Echelon Insights,Trump,-0.8,2024-10-31,0
50,1328,Echelon Insights,Harris,-0.8,2024-10-31,1
48,1328,Echelon Insights,Trump,-0.8,2024-10-31,0
49,593,Noble Predictive Insights,Harris,-0.4,2024-10-31,1
48,593,Noble Predictive Insights,Trump,-0.4,2024-10-31,0
47,808,Selzer,Harris,-1.2,2024-10-31,1
44,808,Selzer,Trump,-1.2,2024-10-31,0
49.1,902,East Carolina University,Harris,-0.5,2024-10-31,1
49.5,902,East Carolina University,Trump,-0.5,2024-10-31,0
47,880,YouGov,Harris,-1.1,2024-10-31,1
48,880,YouGov,Trump,-1.1,2024-10-31,0
48,856,YouGov,Harris,-1.1,2024-10-31,1
48,856,YouGov,Trump,-1.1,2024-10-31,0
49,880,YouGov,Harris,-1.1,2024-10-31,1
50,880,YouGov,Trump,-1.1,2024-10-31,0
49,856,YouGov,Harris,-1.1,2024-10-31,1
50,856,YouGov,Trump,-1.1,2024-10-31,0
46,984,YouGov,Harris,-1.1,2024-10-31,1
48,984,YouGov,Trump,-1.1,2024-10-31,0
47,939,YouGov,Harris,-1.1,2024-10-31,1
48,939,YouGov,Trump,-1.1,2024-10-31,0
48,984,YouGov,Harris,-1.1,2024-10-31,1
50,984,YouGov,Trump,-1.1,2024-10-31,0
48,939,YouGov,Harris,-1.1,2024-10-31,1
50,939,YouGov,Trump,-1.1,2024-10-31,0
47,985,YouGov,Harris,-1.1,2024-10-31,1
45,985,YouGov,Trump,-1.1,2024-10-31,0
48,942,YouGov,Harris,-1.1,2024-10-31,1
45,942,YouGov,Trump,-1.1,2024-10-31,0
50,985,YouGov,Harris,-1.1,2024-10-31,1
46,985,YouGov,Trump,-1.1,2024-10-31,0
50,942,YouGov,Harris,-1.1,2024-10-31,1
47,942,YouGov,Trump,-1.1,2024-10-31,0
48,790,YouGov,Harris,-1.1,2024-10-31,1
47,790,YouGov,Trump,-1.1,2024-10-31,0
48,773,YouGov,Harris,-1.1,2024-10-31,1
47,773,YouGov,Trump,-1.1,2024-10-31,0
50,790,YouGov,Harris,-1.1,2024-10-31,1
49,790,YouGov,Trump,-1.1,2024-10-31,0
50,773,YouGov,Harris,-1.1,2024-10-31,1
49,773,YouGov,Trump,-1.1,2024-10-31,0
47,987,YouGov,Harris,-1.1,2024-10-31,1
48,987,YouGov,Trump,-1.1,2024-10-31,0
48,949,YouGov,Harris,-1.1,2024-10-31,1
49,949,YouGov,Trump,-1.1,2024-10-31,0
49,987,YouGov,Harris,-1.1,2024-10-31,1
49,987,YouGov,Trump,-1.1,2024-10-31,0
49,949,YouGov,Harris,-1.1,2024-10-31,1
50,949,YouGov,Trump,-1.1,2024-10-31,0
48,982,YouGov,Harris,-1.1,2024-10-31,1
46,982,YouGov,Trump,-1.1,2024-10-31,0
49,956,YouGov,Harris,-1.1,2024-10-31,1
46,956,YouGov,Trump,-1.1,2024-10-31,0
50,982,YouGov,Harris,-1.1,2024-10-31,1
48,982,YouGov,Trump,-1.1,2024-10-31,0
51,956,YouGov,Harris,-1.1,2024-10-31,1
48,956,YouGov,Trump,-1.1,2024-10-31,0
48,889,YouGov,Harris,-1.1,2024-10-31,1
45,889,YouGov,Trump,-1.1,2024-10-31,0
49,867,YouGov,Harris,-1.1,2024-10-31,1
45,867,YouGov,Trump,-1.1,2024-10-31,0
51,889,YouGov,Harris,-1.1,2024-10-31,1
47,889,YouGov,Trump,-1.1,2024-10-31,0
51,867,YouGov,Harris,-1.1,2024-10-31,1
47,867,YouGov,Trump,-1.1,2024-10-31,0
50,908,Data for Progress,Harris,-1.2,2024-10-31,1
48,908,Data for Progress,Trump,-1.2,2024-10-31,0
49,972,Data for Progress,Harris,-1.2,2024-10-31,1
48,972,Data for Progress,Trump,-1.2,2024-10-31,0
48.5,1108,Morning Consult,Harris,-0.3,2024-10-31,1
47.5,1108,Morning Consult,Trump,-0.3,2024-10-31,0
48,1538,Morning Consult,Harris,-0.3,2024-10-31,1
48,1538,Morning Consult,Trump,-0.3,2024-10-31,0
45,2120,Morning Consult,Harris,-0.3,2024-10-31,1
51.7,2120,Morning Consult,Trump,-0.3,2024-10-31,0
47.6,540,Morning Consult,Harris,-0.3,2024-10-31,1
48.2,540,Morning Consult,Trump,-0.3,2024-10-31,0
48,1265,TIPP,Harris,-0.4,2024-10-30,1
48,1265,TIPP,Trump,-0.4,2024-10-30,0
48,1265,TIPP,Harris,-0.4,2024-10-30,1
48,1265,TIPP,Trump,-0.4,2024-10-30,0
53,600,Keating Research,Harris,0.1,2024-10-30,1
41,600,Keating Research,Trump,0.1,2024-10-30,0
48,1038,TIPP,Harris,-0.4,2024-10-30,1
46,1038,TIPP,Trump,-0.4,2024-10-30,0
48,831,TIPP,Harris,-0.4,2024-10-30,1
48,831,TIPP,Trump,-0.4,2024-10-30,0
46,1038,TIPP,Harris,-0.4,2024-10-30,1
44,1038,TIPP,Trump,-0.4,2024-10-30,0
48,831,TIPP,Harris,-0.4,2024-10-30,1
47,831,TIPP,Trump,-0.4,2024-10-30,0
47,775,Noble Predictive Insights,Harris,-0.4,2024-10-30,1
48,775,Noble Predictive Insights,Trump,-0.4,2024-10-30,0
45,800,OnMessage Inc.,Harris,0.2,2024-10-30,1
47,800,OnMessage Inc.,Trump,0.2,2024-10-30,0
45.2,520,Chism Strategies,Harris,-0.3,2024-10-30,1
44.5,520,Chism Strategies,Trump,-0.3,2024-10-30,0
48.3,534,Chism Strategies,Harris,-0.3,2024-10-30,1
42.9,534,Chism Strategies,Trump,-0.3,2024-10-30,0
55.8,510,Chism Strategies,Harris,-0.3,2024-10-30,1
33.3,510,Chism Strategies,Trump,-0.3,2024-10-30,0
50,8868,Morning Consult,Harris,-0.3,2024-10-30,1
47,8868,Morning Consult,Trump,-0.3,2024-10-30,0
48,600,Echelon Insights,Harris,-0.8,2024-10-30,1
48,600,Echelon Insights,Trump,-0.8,2024-10-30,0
49,600,Echelon Insights,Harris,-0.8,2024-10-30,1
49,600,Echelon Insights,Trump,-0.8,2024-10-30,0
47,600,Echelon Insights,Harris,-0.8,2024-10-30,1
47,600,Echelon Insights,Trump,-0.8,2024-10-30,0
48,600,Echelon Insights,Harris,-0.8,2024-10-30,1
48,600,Echelon Insights,Trump,-0.8,2024-10-30,0
46,600,Echelon Insights,Harris,-0.8,2024-10-30,1
51,600,Echelon Insights,Trump,-0.8,2024-10-30,0
46,600,Echelon Insights,Harris,-0.8,2024-10-30,1
52,600,Echelon Insights,Trump,-0.8,2024-10-30,0
48.6,500,Suffolk,Harris,-1,2024-10-30,1
48.6,500,Suffolk,Trump,-1,2024-10-30,0
50,1444,Marist,Harris,-0.9,2024-10-30,1
48,1444,Marist,Trump,-0.9,2024-10-30,0
50,1330,Marist,Harris,-0.9,2024-10-30,1
48,1330,Marist,Trump,-0.9,2024-10-30,0
51,1558,Marist,Harris,-0.9,2024-10-30,1
47,1558,Marist,Trump,-0.9,2024-10-30,0
50,1400,Marist,Harris,-0.9,2024-10-30,1
48,1400,Marist,Trump,-0.9,2024-10-30,0
51,1356,Marist,Harris,-0.9,2024-10-30,1
48,1356,Marist,Trump,-0.9,2024-10-30,0
51,1214,Marist,Harris,-0.9,2024-10-30,1
48,1214,Marist,Trump,-0.9,2024-10-30,0
55.4,611,Cygnal,Harris,-1.1,2024-10-30,1
30.9,611,Cygnal,Trump,-1.1,2024-10-30,0
49,460,Muhlenberg,Harris,-1,2024-10-30,1
47,460,Muhlenberg,Trump,-1,2024-10-30,0
48,1204,The Washington Post,Harris,-1.2,2024-10-30,1
47,1204,The Washington Post,Trump,-1.2,2024-10-30,0
48,1204,The Washington Post,Harris,-1.2,2024-10-30,1
47,1204,The Washington Post,Trump,-1.2,2024-10-30,0
47,1079,Data for Progress,Harris,-1.2,2024-10-30,1
48,1079,Data for Progress,Trump,-1.2,2024-10-30,0
49,721,Data for Progress,Harris,-1.2,2024-10-30,1
47,721,Data for Progress,Trump,-1.2,2024-10-30,0
48.3,666,Morning Consult,Harris,-0.3,2024-10-30,1
48.4,666,Morning Consult,Trump,-0.3,2024-10-30,0
48,1009,Morning Consult,Harris,-0.3,2024-10-30,1
49.6,1009,Morning Consult,Trump,-0.3,2024-10-30,0
52,570,YouGov,Harris,-1.1,2024-10-30,1
44,570,YouGov,Trump,-1.1,2024-10-30,0
48,781,RABA Research,Harris,0.6,2024-10-29,1
44,781,RABA Research,Trump,0.6,2024-10-29,0
51,2791,St. Anselm,Harris,-0.5,2024-10-29,1
46,2791,St. Anselm,Trump,-0.5,2024-10-29,0
40,721,Remington,Harris,-0.6,2024-10-29,1
54,721,Remington,Trump,-0.6,2024-10-29,0
48.3,1302,TIPP,Harris,-0.4,2024-10-29,1
47.5,1302,TIPP,Trump,-0.4,2024-10-29,0
48,1302,TIPP,Harris,-0.4,2024-10-29,1
47,1302,TIPP,Trump,-0.4,2024-10-29,0
51,4523,HarrisX,Harris,-0.1,2024-10-29,1
